zip_code,borough,claim_count,paid_claim_count,building_payments,contents_payments,icc_payments,total_claim_dollars_paid,average_payment_per_paid_claim
11375,Queens,62,42,1588378.81,211128.57,0.0,1799507.3800000001,42845.413809523816
11377,Queens,46,35,1196524.68,620093.0599999999,0.0,1816617.74,51903.364
11378,Queens,33,22,1119094.43,1034341.02,0.0,2153435.45,97883.42954545455
11379,Queens,41,28,146787.4,38775.94,0.0,185563.34,6627.262142857143
11385,Queens,19,15,286883.6,11724.86,0.0,298608.46,19907.230666666666
11411,Queens,16,15,30396.06,8553.25,0.0,38949.31,2596.6206666666667
11412,Queens,23,15,19860.769999999997,15103.380000000001,0.0,34964.15,2330.9433333333336
11413,Queens,149,120,798719.0599999999,271036.32,0.0,1069755.3800000001,8914.628166666667
11414,Queens,2028,1759,65178981.9,10894424.5,642700.0,76716106.4,43613.47720295623
11415,Queens,3,1,0.0,1952.0,0.0,1952.0,1952.0
11416,Queens,9,8,9267.2,11885.0,0.0,21152.2,2644.025
11417,Queens,34,27,51952.59,28638.3,0.0,80590.89,2984.8477777777775
11418,Queens,17,12,21245.85,35344.520000000004,0.0,56590.369999999995,4715.864166666666
11419,Queens,7,6,11128.62,3314.5,0.0,14443.12,2407.186666666667
11420,Queens,113,94,370345.61,97781.7,0.0,468127.31000000006,4980.077765957448
11421,Queens,15,8,17478.62,9710.05,0.0,27188.67,3398.58375
11422,Queens,377,313,6924956.6,427266.58999999997,30000.0,7382223.19,23585.377603833866
11423,Queens,22,15,179376.87,39809.03,0.0,219185.9,14612.393333333333
11424,Queens,1,1,72513.63,0.0,0.0,72513.63,72513.63
11426,Queens,6,3,12144.53,425.0,0.0,12569.53,4189.843333333333
11427,Queens,13,8,50439.23,6127.14,0.0,56566.37,7070.79625
11428,Queens,8,5,22195.71,7639.37,0.0,29835.079999999998,5967.016
11429,Queens,8,4,43587.02999999999,6473.18,0.0,50060.21,12515.0525
11432,Queens,29,20,164031.46,27390.83,0.0,191422.29,9571.1145
11433,Queens,30,22,619717.18,41730.770000000004,0.0,661447.9500000001,30065.815909090914
11434,Queens,73,46,385250.51,104463.91,0.0,489714.42,10645.965652173913
11435,Queens,46,39,386534.68,5129187.72,0.0,5515722.4,141428.7794871795
11436,Queens,20,12,465060.35000000003,83206.97,0.0,548267.3200000001,45688.943333333336
11559,Queens,4,4,154266.87,0.0,0.0,154266.87,38566.7175
11561,Queens,1,0,0.0,0.0,0.0,0.0,
11580,Queens,1,0,0.0,0.0,0.0,0.0,
11674,Queens,1,1,15820.86,0.0,0.0,15820.86,15820.86
11690,Queens,7,7,704042.01,241679.38,0.0,945721.39,135103.05571428573
11691,Queens,2291,1933,78042092.75,5547638.31,1290000.0,84879731.06,43910.88001034661
11692,Queens,1632,1431,66031687.97,4970381.54,1002937.39,72005006.9,50317.96429070581
11693,Queens,1601,1401,81588343.82,8154427.05,4432838.16,94175609.03,67220.2776802284
11694,Queens,2312,2119,134861932.03,21499369.57,292750.0,156654051.6,73928.29240207645
11695,Queens,3,3,122027.29000000001,11865.15,0.0,133892.44,44630.81333333333
11696,Queens,1,1,3151.19,0.0,0.0,3151.19,3151.19
11697,Queens,2373,2179,141056426.35,14142427.19,5496928.13,160695781.67,73747.49044056906
11753,Queens,1,0,0.0,0.0,0.0,0.0,
11770,Queens,1,1,10876.52,0.0,0.0,10876.52,10876.52
11793,Queens,1,1,200.0,0.0,0.0,200.0,200.0
17421,Queens,1,1,985.0,2965.0,0.0,3950.0,3950.0
09178,Staten Island,1,1,5544.4,4319.5,0.0,9863.9,9863.9
10000,Staten Island,2,1,5122.49,0.0,0.0,5122.49,5122.49
10010,Staten Island,1,1,250000.0,0.0,0.0,250000.0,250000.0
10014,Staten Island,3,3,124280.72,0.0,0.0,124280.72,41426.90666666667
10301,Staten Island,436,340,3276582.3499999996,556724.06,0.0,3833306.41,11274.43061764706
10302,Staten Island,594,500,3077939.71,622781.52,0.0,3700721.23,7401.44246
10303,Staten Island,343,286,1206103.14,436654.5,0.0,1642757.6400000001,5743.907832167833
10304,Staten Island,654,520,1380475.01,1117408.79,0.0,2497883.8,4803.622692307692
10305,Staten Island,3598,3090,62495704.26,7220457.0200000005,763800.0,70479961.28,22809.048957928804
10306,Staten Island,6438,5521,130862758.39,10568117.97,2945668.81,144376545.17,26150.43382901648
10307,Staten Island,252,213,7521438.42,487094.88,60000.0,8068533.3,37880.43802816901
10308,Staten Island,1375,1146,16716921.74,2848720.71,240000.0,19805642.45,17282.410514834206
10309,Staten Island,390,317,1918087.53,579042.26,0.0,2497129.79,7877.381041009464
10310,Staten Island,482,387,1418408.7,574605.57,0.0,1993014.27,5149.907674418605
10312,Staten Island,2050,1590,10516423.93,3928329.38,0.0,14444753.31,9084.750509433963
